title,start,end,location,date,published
GO USA Olympic Promo filming,8:45:00,9:15:00,The Rink at PPG Place,1/17/2014,0000-00-00
Standing Meeting: The Buncher Company,11:00:00,0:00:00,414 Grant St.,1/17/2014,0000-00-00
Meeting with PA Muncipal Leauge President Ed Pawlowski,12:30:00,13:00:00,414 Grant St.,1/17/2014,0000-00-00
Interview with freelance journalist Natasha Acrie ,14:00:00,14:20:00,414 Grant St.,1/17/2014,0000-00-00
Meeting with Policy Manager Matt Barron,14:30:00,15:00:00,414 Grant St.,1/17/2014,0000-00-00
Conference Call: Democratic Muncipal Officers,19:00:00,16:00:00,414 Grant St.,1/17/2014,0000-00-00
"Meeting with Assistant Press Secretary JJ Abbott, Office of the Attorney General",19:00:00,16:30:00,414 Grant St.,1/17/2014,0000-00-00
Spirit of King Awards,10:00:00,11:00:00,"Location:Kingsley Association, 6435 Frankstown Ave.",1/16/2014,0000-00-00
Telephone call: Lee Fisher to discuss CEOs for Cities,13:00:00,13:20:00,414 Grant St.,1/16/2014,0000-00-00
Our Region's Business with Bill Flanagan taping,14:00:00,14:30:00,"WPXI, 4145 Evergreen Road",1/16/2014,0000-00-00
311 Center Tour,15:00:00,15:30:00,"City-County Building, 6th floor",1/16/2014,0000-00-00
"City Stat room \visioning\"" meeting""",15:30:00,16:00:00,"City-County Building, 6th floor",1/16/2014,0000-00-00
On air with WDVE/Randy Baumann,8:15:00,0:00:00,414 Grant St.,1/15/2014,0000-00-00
Press Conference: 72-Hour Pothole Blitz,9:30:00,0:00:00,"Engine 31, 3000 Chartiers Ave",1/15/2014,0000-00-00
Meeting with Councilman Ricky Burgess,13:00:00,14:00:00,414 Grant St.,1/15/2014,0000-00-00
Meeting with Councilwoman Deb Gross,14:00:00,15:00:00,414 Grant St.,1/15/2014,0000-00-00
"Attending viewing for James Bowman, father of Dr. Linda Lane",15:00:00,17:00:00,"White Memorial Chapel, 7204 Thomas Blvd",1/15/2014,0000-00-00
Speaking at Western PA Press Club/Society of Professional Journalists dinner,18:00:00,21:00:00,"Engineers Society, 337 Fourth Ave",1/15/2014,0000-00-00
Press Conference with Councilwoman Natalia Rudiak,9:30:00,0:00:00,414 Grant St.,1/14/2014,0000-00-00
Visit from URA's Robert Rubinstein & 24 Masters Degree students from France,10:45:00,0:00:00,414 Grant St.,1/14/2014,0000-00-00
Leadership PIttsburgh Champagne Luncheon,12:00:00,0:00:00,510 Market Street,1/14/2014,0000-00-00
Meeting with John Valentine,13:00:00,13:30:00,414 Grant St.,1/14/2014,0000-00-00
Meeting with Councilman Corey O'Conner & Executive Team members,14:00:00,15:00:00,414 Grant St.,1/14/2014,0000-00-00
Meeting with Councilwoman Darlene Harris & Executive Team members,15:00:00,16:00:00,414 Grant St.,1/14/2014,0000-00-00
Weekly meeting with City Council,10:00:00,11:00:00,414 Grant St.,1/13/2014,0000-00-00
Meeting with Councilman Daniel Lavelle,11:00:00,12:00:00,414 Grant St.,1/13/2014,0000-00-00
Meeting with Monroeville Mayor Gregory Erosenko,13:00:00,13:30:00,414 Grant St.,1/13/2014,0000-00-00
"Meeting withLucas & Jack Piatt of Millcraft about Grah Lighting, a Slovenian LED light manufactuerer",14:00:00,15:00:00,414 Grant St.,1/13/2014,0000-00-00
Telephone interview with Daniel Casciato of Shady Ave Magazine,15:30:00,15:45:00,414 Grant St.,1/13/2014,0000-00-00
"The Chair, film/reality TV project event produced by Alex DiClaudio, Chris Moore & Zach Quinto",0:00:00,0:00:00,"Clear Story, 1931 Sideny Street",1/13/2014,0000-00-00
Press Conference: 311 & DPW update,13:30:00,0:00:00,"DPW Dvision 2, 6814 Hamilton Ave.",1/18/2014,0000-00-00
MLK Celebration,16:00:00,17:00:00,"August Wilson Center for African American Culture, 980 Liberty Ave.",1/18/2014,0000-00-00
Let Freedom Sing Concert,19:00:00,19:30:00,"Ebenezer Baptist Church, 2001 Wylie Ave.",1/18/2014,0000-00-00
Meeting of Important People Concert,20:00:00,22:00:00,"Andy Warhol Museum, 117 Sandusky St.",1/18/2014,0000-00-00
Paramedics for Pets - A Tribute to Ed Alexander,11:00:00,0:00:00,"Animal Rescue League, 6620 Hamilton Ave.",1/20/2014,0000-00-00
King For A Day,11:30:00,12:30:00,"Children's Museum of Pittsburgh, 10 Children's Way, Allegheny Square",1/20/2014,0000-00-00
"Martin Luther King, Jr. Birthday Bash",13:00:00,14:00:00,"Mattress Factory, 500 Sampsonia Way",1/20/2014,0000-00-00
"5th Annual East Liberty Celebrates Dr. Martin Luther King, Jr.",14:30:00,15:30:00,"Kelly Strayhorn Theater, 5941 Penn Ave.",1/20/2014,0000-00-00
MLK Celebration,16:00:00,17:00:00,"Eastminster Presbyterian Church, 250 N. Highland Ave.",1/20/2014,0000-00-00
1020 KDKA call-in with Rob Pratte,20:30:00,20:35:00,414 Grant St.,1/18/2014,0000-00-00
Official Mayoral Portrait,13:30:00,0:00:00,414 Grant St.,1/21/2014,0000-00-00
IOP ALCOSAN Governance Committee meeting,14:00:00,14:45:00,414 Grant St.,1/21/2014,0000-00-00
S&P Ratings Service Conference Call with Finance Director Scott Kunka,15:00:00,0:00:00,414 Grant St.,1/21/2014,0000-00-00
Meeting with CONSOL President Nicholas J. Deiuliis,15:30:00,0:00:00,414 Grant St.,1/21/2014,0000-00-00
Meeting with Albert D'Alessandro ,16:00:00,0:00:00,414 Grant St.,1/21/2014,0000-00-00
